Escola,Código INEP,UF,Município,Localização,Endereço,Telefone,Categoria Escola Privada,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
VERTICAL COLEGIO,35128797,SP,Campinas,Urbana,"ANTONIO CARLOS COUTO DE BARROS, 426 AVENIDA. JARDIM CONCEICAO SOUSAS. 13105-000 Campinas - SP.",(19) 32583685,Comunitária,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8806772,-46.9703042
CPQ MARTINS CENTRO ASSISTENCIAL,35130312,SP,Campinas,Urbana,"HELENA STEIMBERG, 1411 RUA. JARDIM SAO CARLOS. 13092-481 Campinas - SP.",(19) 33671961,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.90075,-47.03682
OBJETIVO DE CAMPINAS COLEGIO UNIDADE CAMBUI,35131982,SP,Campinas,Urbana,"FRANCISCO DE PAULA CAPITAO, 333 RUA. CAMBUI. 13024-450 Campinas - SP.",(19) 32546333,Particular,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.8901038,-47.047902
EDUCAP COLEGIO,35131994,SP,Campinas,Urbana,"LEOPOLDINA IMPERATRIZ, 357 AVENIDA. VILA NOVA. 13073-035 Campinas - SP.",(19) 37445246,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.88155,-47.06943
DOCTUS COLEGIO UNIDADE I,35132248,SP,Campinas,Urbana,"PINTO FERRAZ DOUTOR, 668 RUA. SAO BERNARDO. 13030-500 Campinas - SP.",(19) 32720396,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9262684,-47.074062
CURUMIM ESCOLA EDUC INF E ENS FUNDAMENTAL,35132263,SP,Campinas,Urbana,"SANTA MARIA ROSSELO, 141 RUA. MANSOES SANTO ANTONIO. 13087-503 Campinas - SP.",(19) 32562648,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.84901,-47.05546
REALIDADE ESCOLA DE EDUCACAO BASICA SISTEMA EDUCACIONAL,35134173,SP,Campinas,Urbana,"JOSE ADEMAR ETTER, 709 AVENIDA. VILA MARIETA. 13042-110 Campinas - SP.",(19) 32760777,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9340266,-47.05060679
PETELECO RECANTO INFANTIL,35135999,SP,Campinas,Urbana,"EDUARDO LANE, 227 RUA. JARDIM BRASIL. 13073-002 Campinas - SP.",(19) 32418108,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88763977,-47.06682613
AMERICANA DE CAMPINAS ESCOLA EFM,35136013,SP,Campinas,Urbana,"CAJAMAR, 35 RUA. JARDIM ALTO DA BARRA. 13090-860 Campinas - SP.",(19) 21021009,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8829513,-47.0378623
AXIS MUNDI COLEGIO,35137613,SP,Campinas,Urbana,"MOGI GUACU, 1237 RUA. CHACARA DA BARRA. 13090-605 Campinas - SP.",(19) 32515774,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8837563,-47.03644
ASTHER COLEGIO,35138769,SP,Campinas,Urbana,"D OESTE PRINCESA, 556 AVENIDA. JARDIM PARAISO. 13100-040 Campinas - SP.",(19) 37536300,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9185593,-47.0440093
DOCTUS COLEGIO UNIDADE II,35143273,SP,Campinas,Urbana,"ALVES DO BANHO DOUTOR, 565 RUA. SAO BERNARDO. 13030-580 Campinas - SP.",(19) 32724795,Particular,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.9263025,-47.0743598
PESTALOZZI DE CAMPINAS ESCOLA EDUC ESP,35145348,SP,Campinas,Urbana,"ALAIDE NASCIMENTO DE LEMOS, 570 RUA. VILA LEMOS. 13100-453 Campinas - SP.",(19) 32521023,Filantrópica,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-22.9133033,-47.0408367
ESCOLA DE EDUCACAO ESPECIAL PROFESSOR SAULO MONTE SERRAT,35145359,SP,Campinas,Urbana,"FRANCISCO BUENO LACERDA, 120 RUA. JARDIM DOM VIEIRA. 13036-265 Campinas - SP.",(19) 37721200,Filantrópica,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-22.9200285,-47.0674698
INSTITUTO EDUCACIONAL PROFESSORA MARIA DO CARMO ARRUDA TOLEDO,35145361,SP,Campinas,Urbana,"ALAIDE NASCIMENTO DE LEMOS, 532 RUA. VILA LEMOS. 13100-453 Campinas - SP.",(19) 32523611,Filantrópica,Entre 501 e 1000 matrículas de escolarização,Educação Infantil,-22.9138986364292,-47.0406233889556
VIVENDO E APRENDENDO UNIDADE I COLEGIO,35150046,SP,Campinas,Urbana,"JOSE JULIA TOJA MARTINEZ FILHO MAJOR, 189 RUA. VILA CASTELO BRANCO. 13061-234 Campinas - SP.",(19) 32694793,Particular,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-22.9139428,-47.1113544
BATISTA AGAPE COLEGIO,35150095,SP,Campinas,Urbana,"SANDOVAL MEIRELLES, 157 RUA. VILA JOAO JORGE. 13041-315 Campinas - SP.",(19) 21274200,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.91940785,-47.05756615
PHOTON COLEGIO,35153746,SP,Campinas,Urbana,"JOAO DUQUE, 7 RUA. PARQUE IMPERADOR. 13097-116 Campinas - SP.",(19) 32072921,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8435656,-47.0261841
PIMPOLHO JARDIM ESCOLA,35159931,SP,Campinas,Urbana,"BARRETO LEME, 2456 RUA. CAMBUI. 13025-085 Campinas - SP.",(19) 32512409,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.897385,-47.04837
EDUARDO LANE COLEGIO PRESBITERIANO ASSOCIACAO BETHEL,35159943,SP,Campinas,Urbana,"LUZITANA, 824 RUA. CENTRO. 13015-121 Campinas - SP.",(19) 32319236,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.906236,-47.0563771
TRACO MAGICO INSTITUTO DE EDUCACAO,35159955,SP,Campinas,Urbana,"ERNESTO BUZZO, 82 RUA. VILA JOAQUIM INACIO. 13045-670 Campinas - SP.",(19) 32764786,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.929473,-47.036168
CONTEMPORANEA ESCOLA,35159967,SP,Campinas,Urbana,"D EU CONDE, 92 RUA. JARDIM PARAISO. 13100-009 Campinas - SP.",(19) 32543344,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.91116789,-47.04398995
ESCOLA INFANTIL FELIZ INFANCIA,35161385,SP,Campinas,Urbana,"VASCO JOAQUIM SMITH VASCONCELOS, 97 RUA. JARDIM DO LAGO. 13050-014 Campinas - SP.",(19) 33270536,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9329304,-47.0834328
RECANTO AZUL COLEGIO,35162024,SP,Campinas,Urbana,"ETELVINA DE SALES ALVES, 6676 86106. JARDIM GARCIA. 13061-097 Campinas - SP.",,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.912173,-47.1025218
BASICO DE CAMPINAS COLEGIO,35165037,SP,Campinas,Urbana,"BARTOLOMEU LOURENCO DE GUSMAO PADRE, 69 RUA. JARDIM CHAPADAO. 13070-044 Campinas - SP.",(19) 32130000,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8953567,-47.0923821
DOMINIUS COLEGIO,35165050,SP,Campinas,Urbana,"RUA MARTINS TORRES, 31 RUA. SANTA GENEBRA. 13080-510 Campinas - SP.",(19) 32080969,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8561653,-47.065614
JOAO E MARCELLA SEMI EXTERNATO,35166637,SP,Campinas,Urbana,"ERNESTO NAPOLI JORNALISTA, 847 RUA. JARDIM PAULICEIA. 13060-072 Campinas - SP.",(19) 32281969,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9193989,-47.1034153
MUNDO MAGICO ESCOLA DE EDUCACAO INFANTIL,35167150,SP,Campinas,Urbana,"ANGELO SIMOES DOUTOR, 536 540. PONTE PRETA. 13041-455 Campinas - SP.",(19) 32324284,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.92058155,-47.05419716
PICOLE RECANTO INFANTIL,35167915,SP,Campinas,Urbana,"FERDINANDO PANATTONI, 375 RUA. JARDIM PAULICEIA. 13060-090 Campinas - SP.",(19) 32278100,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9177918983623,-47.1044960618019
COLEGIO INTEGRACAO CAMPINAS LTDA,35169493,SP,Campinas,Urbana,"ROMEU TORTIMA DOUTOR, 740 AVENIDA. JARDIM SANTA GENEBRA II BARAO GERALDO. 13084-791 Campinas - SP.",(19) 32895500,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8292868,-47.0745458
14 BIS ESCOLA,35169511,SP,Campinas,Urbana,"FRANCISCO OTAVIANO, 329 RUA. JARDIM CHAPADAO. 13070-056 Campinas - SP.",(19) 32434525,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8852529,-47.0762279
AZENHA BERCARIO E ESCOLA DE EDUCACAO INFANTIL LTDA,35169523,SP,Campinas,Urbana,"DOUTOR QUIRINO, 17521764 CENTRO. 13015-082 Campinas - SP.",,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.89948442,-47.059889
BRINCANDO COM A GENTE ESCOLA DE EDUCACAO INFANTIL,35169535,SP,Campinas,Urbana,"JORGE KRUG, 197 VILA ITAPURA. 13020-431 Campinas - SP.",(19) 32337422,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.89127,-47.06137
FADA MADRINHA ESCOLA INFANTIL,35169559,SP,Campinas,Urbana,"JULIA LEITE DE BARROS, 305 RUA. BARAO GERALDO. 13084-015 Campinas - SP.",(19) 32892701,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.81755011,-47.08938135
SOMAR ESCOLA DE EDUCACAO INFANTIL,35170057,SP,Campinas,Urbana,"MACATUBA, 56 RUA. VILA POMPEIA. 13050-443 Campinas - SP.",(19) 32281438,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9290033333333,-47.08703
CENTRO DE EDUCACAO E RECREACAO INFANTIL AZENHA,35170136,SP,Campinas,Urbana,"FRANCISCO DE PAULA OLIVEIRA NAZARETH, 1028 PARQUE INDUSTRIAL. 13031-440 Campinas - SP.",(19) 32739032,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9177573230331,-47.0879459940336
PATACOLA ESCOLA DE EDUCACAO INFANTIL,35170161,SP,Campinas,Urbana,"RIBEIRAO BONITO, 516 RUA. JARDIM DO TREVO. 13030-120 Campinas - SP.",(19) 32723195,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9281544514369,-47.0741471243942
LYON CAMPINAS COLEGIO,35172467,SP,Campinas,Urbana,"PROENCA, 1141 RUA. BOSQUE. 13026-121 Campinas - SP.",(19) 32527400,Particular,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.9103211,-47.0464787
CRESCER COLEGIO,35172510,SP,Campinas,Urbana,"ITATIBA, 1427 RUA. JARDIM NOVO CAMPOS ELISEOS. 13050-545 Campinas - SP.",(19) 32671228,Particular,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.94189307,-47.10219284
ABELHINHA RECANTO DE EDUCACAO INFANTIL,35175699,SP,Campinas,Urbana,"BORBOREMA, 189 RUA. VILA FORTUNA. 13032-320 Campinas - SP.",(19) 32425657,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9068631,-47.0863912
ESTILO INSTITUTO EDUCACIONAL,35176497,SP,Campinas,Urbana,"RUA EDMUNDO PANUNCIO, 209 JARDIM APARECIDA. 13068-606 Campinas - SP.",(19) 32811756,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.85302141,-47.15975205
SAN CONRADO COLEGIO,35179905,SP,Campinas,Urbana,"JOAO LEONE, 155 RUA. JARDIM ROSANA SOUSAS. 13105-530 Campinas - SP.",(19) 32584710,Particular,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.8849267,-46.9716506
DOCTUS COLEGIO UNIDADE III,35185474,SP,Campinas,Urbana,"DOMINGOS MORO, 253 RUA. JARDIM CHAPADAO. 13070-026 Campinas - SP.",(19) 33685750,Particular,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.8938374,-47.0854596
PAES JUNIOR COLEGIO,35191991,SP,Campinas,Urbana,"ARMANDO SALES DE OLIVEIRA DOUTOR, 466 RUA. TAQUARAL. 13076-015 Campinas - SP.",(19) 32525297,Particular,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-22.87832,-47.04936
JARDIN S COLEGIO,35194700,SP,Campinas,Urbana,"VIOLETAS, 95 RUA. VILA MIMOSA. 13050-063 Campinas - SP.",(19) 988387518,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9353215,-47.09170264
GENIUS COLEGIO,35194712,SP,Campinas,Urbana,"MOGI MIRIM, 1283 RUA. JARDIM NOVO CAMPOS ELISEOS. 13050-543 Campinas - SP.",(19) 32670357,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9445402,-47.0993477
LUZ DO SABER ESCOLA DE EDUCACAO INFANTIL,35196332,SP,Campinas,Urbana,"POMPILIO MORANDI, 226 RUA. VILA PROOST DE SOUZA. 13033-710 Campinas - SP.",(19) 32429576,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9059,-47.09501
ELEFANTINHO AZUL ESCOLA INFANTIL,35196368,SP,Campinas,Urbana,"AVENIDA ENGENHEIRO CARLOS STEVENSON, 915 NOVA CAMPINAS. 13092-132 Campinas - SP.",(19) 32710969,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9224039,-47.0424554
CASA DE ESCOLA ESCOLA DE EDUCACAO INFANTIL,35196381,SP,Campinas,Urbana,"JOAO AUGUSTO DE TOLEDO PROFESSOR, 251 RUA. VILA PROOST DE SOUZA. 13033-720 Campinas - SP.",(19) 32424055,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9020881223803,-47.093707531814
ASSOCIACAO DOUGLAS ANDREANI ADA,35266673,SP,Campinas,Urbana,"RUA JOSE PAULINO, 1395 RUA. CENTRO. 13013-001 Campinas - SP.",(19) 32691628,Comunitária,Entre 501 e 1000 matrículas de escolarização,Educação Infantil,-22.9370660166667,-47.0774565833333
RECANTO INFANTIL GIRASSOL LTDA,35292000,SP,Campinas,Urbana,"DAS HORTENCIAS, 281 RUA. CHACARA PRIMAVERA. 13087-440 Campinas - SP.",,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8615952,-47.0527733
WALDORF JD DAS AMORAS ESCOLA,35292424,SP,Campinas,Urbana,"AVENIDA DOUTOR JESUINO MARCONDES MACHADO, 945 JARDIM PLANALTO. 13092-001 Campinas - SP.",(19) 971565473,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8980251,-47.0437263
PANDINHA BERCARIO E MATERNAL,35295528,SP,Campinas,Urbana,"JOAQUIM ULISSES SARMENTO, 545 RUA. JARDIM AURELIA. 13033-080 Campinas - SP.",(19) 32132745,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9078731918591,-47.0971132660348
SEMEAR COLEGIO,35297641,SP,Campinas,Urbana,"RUA ATERLA, 83 83 93 E 103. PARQUE UNIVERSITARIO DE VIRACOPOS. 13056-483 Campinas - SP.",(19) 32665124,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9681183,-47.1402517
ALEGRIA DE SABER CENTRO EDUCACIONAL,35299467,SP,Campinas,Urbana,"AVENIDA SANTA BARBARA DO RIO PARDO, 264 274284. JARDIM NOVA EUROPA. 13040-076 Campinas - SP.",(19) 32780646,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9442016,-47.0620646
FARROUPILHA COLEGIO UNIDADE II,35299996,SP,Campinas,Urbana,"FERNAO LOPES, 1420 RUA. PARQUE TAQUARAL. 13087-051 Campinas - SP.",(19) 32417811,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8691846,-47.0606593
PIK NIK ESCOLA DE EDUCACAO INFANTIL,35301673,SP,Campinas,Urbana,"SILVIO RIZZARDO, 1273 RUA. JARDIM PAULICEIA. 13060-077 Campinas - SP.",(19) 30257704,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.922928,-47.1060617
VIVENDO E APRENDENDO UNIDADE III COLEGIO,35303847,SP,Campinas,Urbana,"CASTELNUOVO, 760 RUA. JARDIM GARCIA. 13061-085 Campinas - SP.",(19) 32291933,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9137447,-47.111045
CENTRO EDUCACIONAL CORACAO DE MARIA CECOM,35307661,SP,Campinas,Urbana,"RUA JOSE CASONATO, 160 RUA. CIDADE SATELITE IRIS. 13059-675 Campinas - SP.",(19) 32292890,Comunitária,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9399085137993,-47.1372493542731
PEQUENO PARAISO LAR,35307671,SP,Campinas,Urbana,"SANTA ERNESTINA, 243 JARDIM GUARANI. 13100-202 Campinas - SP.",(19) 32945938,Comunitária,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.91224476,-47.03619371
EUCLIDES FAICARE COLEGIO,35308158,SP,Campinas,Urbana,"PEDREIRA, 1008 RUA. JARDIM NOVO CAMPOS ELISEOS. 13050-544 Campinas - SP.",(19) 32271419,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.94549695,-47.10024278
EDUCARTE DE CAMPINAS EEIEF,35367746,SP,Campinas,Urbana,"JANANAYRA, 912 RUA. VILA AEROPORTO. 13054-132 Campinas - SP.",(19) 992340432,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.97282558,-47.12493399
DOMBOSQUINHO,35376863,SP,Campinas,Urbana,"JOSE PAULINO, 479 RUA. CENTRO. 13013-000 Campinas - SP.",(19) 32312644,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.91016132,-47.05885924
CIRANDINHA INSTITUTO EDUCACIONAL,35386029,SP,Campinas,Urbana,"ATERLA, 40 RUA. PARQUE UNIVERSITARIO DE VIRACOPOS. 13056-487 Campinas - SP.",(19) 32665044,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.96773899,-47.14001767
CENTRO EDUCACIONAL FITEL,35401894,SP,Campinas,Urbana,"ALADINO SELMI COMENDADOR, 2211 AVENIDA. PARQUE CIDADE CAMPINAS. 13069-036 Campinas - SP.",(19) 32460035,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8499145,-47.1238485
INOVAR COLEGIO,35420323,SP,Campinas,Urbana,"FRANCISCO DE PAULA OLIVEIRA NAZARETH, 608 AVENIDA. PARQUE INDUSTRIAL. 13031-440 Campinas - SP.",,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9190079,-47.0856509
OFICINA DO ESTUDANTE COLEGIO,35437153,SP,Campinas,Urbana,"FELIPE DOS SANTOS, 37 RUA. JARDIM GUANABARA. 13073-270 Campinas - SP.",(19) 32416688,Particular,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.85477943,-47.05141037
THEMAEDUCANDO ESCOLA,35437670,SP,Campinas,Urbana,"PIEDADE, 185 RUA. CHACARA DA BARRA. 13090-749 Campinas - SP.",(19) 32534125,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8877862,-47.0371159
BATISTA VISTA ALEGRE COLEGIO,35438674,SP,Campinas,Urbana,"JOSE ROBERTO LUCAS PROFESSOR, 10 RUA. JARDIM VISTA ALEGRE. 13056-520 Campinas - SP.",(19) 36662275,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.969855,-47.14833667
CANTINHO DO APRENDIZ CEIEF,35438765,SP,Campinas,Urbana,"JUAREZ TAVORA MARECHAL, 58 AVENIDA. JARDIM CAMPOS ELISEOS. 13060-866 Campinas - SP.",(19) 32014590,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9292675,-47.0996544
INSTITUTO JACARANDA DE EDUCACAO INFANTIL,35439381,SP,Campinas,Urbana,"MAESTRO FRANCISCO MANOEL DA SILVA, 84 CASA 36 48 60 72 96. JARDIM SANTA GENEBRA. 13080-190 Campinas - SP.",(19) 37092828,Filantrópica,Até 50 matrículas de escolarização,Educação Infantil,-22.85034,-47.07484
ASSOCIACAO FRANCISCANAS MISSIONARIAS CORACAO IMACULADO,35440395,SP,Campinas,Urbana,"HARALDO EGIDIO DE SOUZA SANTOS TENENTE, 405 AVENIDA. JARDIM CHAPADAO. 13070-160 Campinas - SP.",(19) 32419521,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8859912,-47.0739599
APAS II ASSOCIACAO PRESBITERIANA DE ACAO SOCIAL,35441119,SP,Campinas,Urbana,"SERRA DO UMBUZEIRO, 540 RUA. JARDIM PARANAPANEMA. 13100-239 Campinas - SP.",(19) 32526191,Comunitária,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9147379519418,-47.0333559159189
PORTAL DO FUTURO COLEGIO,35441867,SP,Campinas,Urbana,"PEROBAS, 497 RUA. VILA BOA VISTA. 13064-763 Campinas - SP.",(19) 32451473,Particular,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.89035944,-47.11901746
ARTE E SABER ESCOLA DE EDUCACAO INFANTIL,35448011,SP,Campinas,Urbana,"SETE DE SETEMBRO, 693 RUA. VILA INDUSTRIAL. 13035-350 Campinas - SP.",(19) 32736736,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.91294,-47.06434452
LEADERS SCHOOL,35448515,SP,Campinas,Urbana,"LEONTINA CARVALHO SIQUEIRA, 38 BAIRRO DAS PALMEIRAS. 13092-580 Campinas - SP.",(19) 33050202,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8984972,-47.0158541
AMIGOS DA CRIANCA CENTRO ESPIRITA FE E AMOR,35448722,SP,Campinas,Urbana,"ROSA AGRITELLI CIPRIANO, 01 RUA. JARDIM MONTE CRISTOPARQUE OZIEL. 13049-103 Campinas - SP.",(19) 32877352,Comunitária,Entre 501 e 1000 matrículas de escolarização,Educação Infantil,-22.9353063041344,-47.0795402862132
TURMA DO MICKEY ESCOLA INFANTIL,35448746,SP,Campinas,Urbana,"AMILAR ALVES, 334 RUA. VILA JOAO JORGE. 13041-301 Campinas - SP.",(19) 32316454,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9192,-47.05852
COLEGIO PROGRESSO UNIDADE TAQUARAL,35450856,SP,Campinas,Urbana,"JORGE DE FIGUEIREDO CORREA, SN RUA. PARQUE TAQUARAL. 13087-261 Campinas - SP.",(19) 32566868,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8667754,-47.0491004
CONTEMPORANEA TEENS ESCOLA,35450984,SP,Campinas,Urbana,"TERESA CRISTINA IMPERATRIZ DONA, 94 AVENIDA. JARDIM GUARANI. 13100-200 Campinas - SP.",(19) 36373650,Particular,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-22.91119611,-47.04312008
TURMA DA GIGI ESCOLA DE EDUCACAO INFANTIL,35460965,SP,Campinas,Urbana,"ABOLICAO, 2760 2770. VILA JOAQUIM INACIO. 13045-750 Campinas - SP.",(19) 32768600,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.93194,-47.03669
ABRACESOLIDARIO ASSOCIACAO DE DESENVOLVIMENTO HUMANO,35462032,SP,Campinas,Urbana,"RUA ARACANDIVA, 351 RUA. LOTEAMENTOS ALPHAVILLE. 13098-376 Campinas - SP.",(19) 32621948,Comunitária,Entre 501 e 1000 matrículas de escolarização,Educação Infantil,-22.81321,-47.01811
ALEGRIA E CIA RECANTO INFANTIL,35462111,SP,Campinas,Urbana,"RUA EMERSON JOSE MOREIRA, 781 CHACARA PRIMAVERA. 13087-441 Campinas - SP.",(19) 32418339,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8648734,-47.05124103
KEYDLU ESCOLA DE EDUCACAO INFANTIL,35462408,SP,Campinas,Urbana,"ESTADOS UNIDOS, 619 AVENIDA. JARDIM NOVA EUROPA. 13040-099 Campinas - SP.",(19) 32780230,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.93464,-47.0653
RECRIANCA BERCARIO E ESCOLA INFANTIL,35462676,SP,Campinas,Urbana,"JOSE HENRIQUE TAVARES, 07 RUA. VILA NOGUEIRA. 13088-031 Campinas - SP.",(19) 32961577,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8686316666667,-47.0393316666667
MUNDO DOS SONHOS ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL,35464156,SP,Campinas,Urbana,"JOAO PESSINI, 148 RUA. JARDIM NOVO MARACANA. 13058-404 Campinas - SP.",(19) 32210067,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9484195,-47.1850484
COLEGIO NOSSA SENHORA DA MISERICORDIA,35464168,SP,Campinas,Urbana,"SANTA MARIA ROSSELO, 71 RUA. MANSOES SANTO ANTONIO. 13087-503 Campinas - SP.",(19) 21211550,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8486935,-47.0547104
PEQUENO MUNDO ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL,35466670,SP,Campinas,Urbana,"MARIO AUGUSTO MUNIZ DE ARAGAO, 1151 RUA. JARDIM DOS OLIVEIRAS. 13044-190 Campinas - SP.",(19) 32766757,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.940585,-47.04459833
OBJETIVO VILA INDUSTRIAL,35467765,SP,Campinas,Urbana,"SALES DE OLIVEIRA DOUTOR, 1161 RUA. VILA INDUSTRIAL. 13035-270 Campinas - SP.",(19) 25135025,Particular,Entre 201 e 500 matrículas de escolarização,Ensino Médio,-22.9090401,-47.0755418
ASSOCIACAO AMIGOS DA CRIANCA UNIDADE III CAMPO BELO AMIC,35468708,SP,Campinas,Urbana,"ALVARO SALVETI, 803 RUA. JARDIM CAMPO BELO. 13053-135 Campinas - SP.",(19) 37623545,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-23.03602912,-47.11908488
