Escola,Código INEP,UF,Município,Localização,Endereço,Telefone,Categoria Escola Privada,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
COLEGIO APRENDER E EDUCAR UNIDADE II,35005655,SP,Campinas,Rural,"JOSE BONIFACIO, 233 JARDIM FLAMBOYANT. 13091-140 Campinas - SP.",(19) 33082493,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
COLEGIO OFICINA DO ESTUDANTE UNIDADE TAQUARAL,35005741,SP,Campinas,Urbana,"JASMIM, 700 CHACARA PRIMAVERA. 13087-460 Campinas - SP.",(19) 37222324,Particular,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-22.85460911,-47.05149377
QUINTAL DAS BORBOLETAS EDUCACAO INFANTIL,35006045,SP,Campinas,Urbana,"DOS EXPEDICIONARIOS, 822 SOUSAS. 13106-028 Campinas - SP.",(19) 40428834,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88283854,-46.97361668
BERCARIO E ESCOLA INFANTIL BARAO DE TEFFE,35006230,SP,Campinas,Urbana,"JOAO PEDROSO, 310 ARRUAMENTO FAIN JOSE FERES. 13084-583 Campinas - SP.",(19) 32894766,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.81989,-47.08517
ESCOLA DE EDUCACAO INFANTIL LUMIANA,35006591,SP,Campinas,Urbana,"BADEN POWELL, 1631 1643 1653. JARDIM NOVA EUROPA. 13040-093 Campinas - SP.",(19) 32770271,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9439866666667,-47.0547783333333
ESCOLA DE EDUCACAO INFANTIL JOAO E DUDA,35006601,SP,Campinas,Urbana,"PAULO AMGI, 115 PARQUE FAZENDINHA. 13064-712 Campinas - SP.",(19) 32825215,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.89447388,-47.15257237
ESCOLA DE EDUCACAO INFANTIL PREDUC,35006678,SP,Campinas,Urbana,"EDUARDO LANE, 442 JARDIM BRASIL. 13073-002 Campinas - SP.",(19) 32410143,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8857111698017,-47.0672941580415
COLEGIO OFICINA DO ESTUDANTE UNIDADE BARAO GERALDO,35006706,SP,Campinas,Urbana,"ALBINO JOSE BARBOSA DE OLIVEIRA, 1556 BARAO GERALDO. 13084-008 Campinas - SP.",(19) 38811900,Comunitária,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,
ESCOLA DE EDUCACAO INFANTIL TURMINHA DA ALEGRIA,35007009,SP,Campinas,Urbana,"JOAQUIM TARSO GALLACE ZAMBOM, 134 PARQUE SANTA BARBARA. 13064-400 Campinas - SP.",(19) 32824143,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8909016666667,-47.145325
M D S EDUCACAO INFANTIL LTDA AQUARELA DO SABER,35007082,SP,Campinas,Urbana,"LIBERO BADARO, 100 JARDIM ALVORADA. 13050-740 Campinas - SP.",(19) 33087775,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.94845,-47.10833
ESCOLA MAPLE BEAR CANADIAN SCHOOL CAMPINAS UNIDADE 2,35007259,SP,Campinas,Urbana,"RUA PADRE DOMINGOS GIOVANINI, PARQUE TAQUARAL. 13087-310 Campinas - SP.",(19) 33086001,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
INSTITUTO SER SENSO EDUCACAO REINTEGRADA,35007321,SP,Campinas,Urbana,"RUA ARNALDO BARRETO, 667 SAO BERNARDO. 13030-420 Campinas - SP.",,Comunitária,Até 50 matrículas de escolarização,Ensino Fundamental,-22.92563268,-47.07458202
COLEGIO TATIL,35007378,SP,Campinas,Urbana,"RUA DUQUE DE CAXIAS, 1086 CENTRO. 13015-311 Campinas - SP.",(19) 32335311,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.90705584,-47.05126901
COLEGIO RDSSWISS,35007422,SP,Campinas,Urbana,"AVENIDA DERMIVAL BERNARDES SIQUEIRA, 2028 SWISS PARK. 13049-252 Campinas - SP.",(19) 31134200,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
COLEGIO POMARES EDUCACAO INFANTIL E ENSINO FUNDAMENTAL I,35007662,SP,Campinas,Urbana,"RUA ANA DE NAZARE CAVALEIRA, 386 PARQUE DOS POMARES. 13098-002 Campinas - SP.",(19) 997286657,Particular,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
CENTRO EDUCACIONAL ELIENAI LTDA ME,35007691,SP,Campinas,Urbana,"RUA RANCHARIA, 68 JARDIM DO TREVO. 13040-021 Campinas - SP.",(19) 32387538,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9337218729993,-47.0662805345348
SABIS INTERNACIONAL SCHOOL,35007988,SP,Campinas,Urbana,"ESTRADA GIUSEPPINA VIANELLI DI NAPOLLI, 555 POLO II DE ALTA TECNOLOGIA CAMPINAS. 13086-530 Campinas - SP.",,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
COLEGIO OFICINA DO ESTUDANTE UNIDADE PAINEIRAS,35008152,SP,Campinas,Urbana,"AVENIDA JOSE ARAUJO CUNHA, 71 VILA BRANDINA. 13092-553 Campinas - SP.",(19) 37706688,Particular,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.9010683333333,-47.0296666666667
ESCOLA CEZARETTI EDUCACIONAL LTDAME RECANTO ACALANTO,35008210,SP,Campinas,Urbana,"RUA ANDIRA, 102 PARQUE UNIVERSITARIO DE VIRACOPOS. 13056-475 Campinas - SP.",(19) 30281960,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
